Course_Code,Course Name,R1_Points19,R2_Points19
AL801,Software Design with Virtual Reality and Gaming,304,
AL802,Software Design with Cloud Computing,301,
AL803,Software Design with Mobile Apps and Connected Devices,309,
AL805,Network Management and Cloud Infrastructure,329,
AL810,Quantity Surveying,307,
AL820,Mechanical and Polymer Engineering,300,
AL830,General Nursing,410,
AL832,Psychiatric Nursing,387,
AL836,Nutrition and Health Science,352,
AL837,Sports Science with Exercise Physiology,351,
AL838,Biotechnology,302,
AL839,Microbiology,322,
AL840,Pharmaceutical Sciences,328,
AL841,Athletic and Rehabilitation Therapy,423,
AL842,Bioveterinary Science,310,
AL843,Physical Activity and Health Science,310,
AL850,Business,307,
AL851,Business and Law,301,
AL852,Accounting (with optional placement),290,
AL853,Accounting and Law,305,
AL855,Hospitality Management (with International placement),312,
AL857,Digital Marketing,300,
AL860,Social Care Practice,309,
AL861,Animation and Illustration (portfolio),#615,
AL863,Graphic and Digital Design (portfolio),#703,
AL864,Early Years Care and Education,307,
AL870,Applied Psychology,409,
CW018,"Business (options, Wexford)",327,
CW028,Early Childhood Education and Care (Wexford),252,
CW038,"Art (portfolio, Wexford)",#700,
CW058,Tourism and Event Management (Wexford),252,
CW068,Applied Social Studies - Professional Social Care (Wexford),251,
CW078,Sustainable Farm Management and Agribusiness (Wexford),266,
CW088,Visual Communications and Design (Wexford),309,
CW108,Science (options),261,
CW128,Brewing and Distilling,271,
CW178,Sport Science (options),399,
CW188,Sport Rehabilitation and Athletic Therapy,454,
CW208,Computer Games Development,281,
CW238,Software Development,300,
CW248,Information Technology Management,307,
CW268,Computing in Interactive Digital Art and Design,274,
CW438,Construction (options),271,
CW468,Architectural Technology,252,
CW478,Civil Engineering,348,
CW548,Mechanical Engineering,310,
CW558,Electronic Systems,279,
CW568,Aerospace Engineering,366,
CW578,TV and Media Production,327,
CW708,Law - LLB,298,
CW728,Product Design Innovation,286,
CW748,Early Childhood Education and Care,265,
CW758,Applied Social Studies - Professional Social Care,290,
CW808,Media and Public Relations,248,
CW848,Digital Marketing with Analytics,279,
CW858,"Sports Management and Coaching (options, portfolio)",#700,
CW908,Business (options),260,
CW938,Business with Law,270,
CW948,Accounting,301,
PC405,"Social, Political and Community Studies",251,
PC410,Arts and Humanities (fulfils Teaching Council requirements),203,
PC411,English and History (fulfils Teaching Council requirements),168,
CR105,Chemical and Biopharmaceutical Engineering,432,
CR106,Software Development,351,
CR108,Mechanical Engineering,425,
CR109,Structural Engineering,341,
CR110,Automotive Business Management and Technology,318,
CR112,Creative Digital Media,335,
CR116,Computer Systems,318,
CR121,Music at CIT Cork School of Music,#633,
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,#972,
CR126,Popular Music: Drums at CIT Cork School of Music,#878,
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,#584,
CR128,Popular Music: Keyboards at CIT Cork School of Music,#839,
CR129,Popular Music: Voice at CIT Cork School of Music,#857,
CR130,Musical Theatre,#500,
CR150,Business Information Systems,326,
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#979,
CR220,Fine Art at CIT Crawford College of Art and Design,#620,
CR225,Photography with New Media,#920,
CR305,Physical Sciences (Common Entry),279,
CR310,IT Management,282,
CR320,Biomedical Science (Offered jointly by CIT and UCC),546,
CR325,Pharmaceutical Biotechnology,388,
CR333,Nutrition and Health Science,360,
CR335,Biological Sciences (Common Entry),381,
CR340,Analytical Chemistry with Quality Assurance,288,
CR360,Instrument Engineering,291,
CR365,Environmental Science and Sustainable Technology,334,
CR370,Agri-Biosciences,408,
CR400,Accounting,316,
CR420,Marketing,288,
CR425,International Business with Language,300,
CR510,Sustainable Energy Engineering,319,
CR520,Biomedical Engineering,434,
CR560,Architectural Technology,288,
CR565,Interior Architecture,336,
CR570,Quantity Surveying,279,
CR572,Construction Management,253,
CR580,Electrical Engineering,344,
CR590,Electronic Engineering,342,
CR600,Visual Communications,#587,
CR660,Tourism Management,249,
CR700,Theatre and Drama Studies at CIT Cork School of Music,#768,
CK101,Arts - 3 years,300,
CK102,Social Science,391,
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),#340,
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397,
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326,
CK108,Arts International - 4 years,429,
CK109,English - 3 years or 4 years (International Pathway),347,
CK110,World Languages,456,
CK111,Early Years and Childhood Studies,398,
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),#324,
CK113,Criminology - 3 years or 4 years (International Pathway),408,
CK114,Social Science (Youth and Community Work) - 3 years,#,
CK115,Social Work - Mature Applicants only,#,
CK116,Sports Studies and Physical Education,499,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307,
CK120,Applied Psychology,506,
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,
CK122,Government and Political Science,355,
CK201,Commerce,465*,
CK202,Accounting,467,
CK203,Business Information Systems,409,
CK204,Finance,531,
CK205,Commerce (International) with French,409,
CK206,Commerce (International) with German,408,
CK207,Commerce (International) with Italian,408,
CK208,Commerce (International) with Hispanic Studies,431,
CK209,Commerce (International) with Irish,509,
CK211,Commerce (International) with Chinese Studies,398,
CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,
CK301,Law (Pathways) -  3 or 4 years,476,
CK302,Law and French,453,
CK304,Law and Irish,462,
CK307,Law and Business,522,
CK401,Computer Science,402,
CK402,Biological and Chemical Sciences,498,
CK404,"Biological, Earth and Environmental Sciences",412,
CK405,Genetics,476,
CK406,Chemical Sciences,457,
CK407,Mathematical Sciences,531,
CK408,Physics and Astrophysics,511,
CK409,Industrial Physics (offered jointly by UCC and CIT),413,
CK411,Data Science and Analytics,509,
CK502,Food Marketing and Entrepreneurship,433,
CK504,Nutritional Sciences,492,
CK505,Food Science,444,
CK506,International Development and Food Policy,367,
CK600,Engineering,465,
CK606,Architecture (offered jointly by UCC and CIT),465,
CK701,Medicine (Undergraduate Entry - HPAT required),#729,
CK702,Dentistry,590,
CK703,Pharmacy,577,
CK704,Occupational Therapy,532*,
CK705,Speech and Language Therapy,509,
CK706,Public Health Sciences,419,
CK707,Medical and Health Sciences,510*,
CK710,General Nursing,440,
CK712,Children`s and General Nursing (Integrated),499,
CK720,Mental Health Nursing,398,
CK730,Intellectual Disability Nursing,359,
CK740,Midwifery,444,
CK791,Medicine  - Graduate Entry (GAMSAT required),#58*,
AC120,International Business,234,
AC137,Liberal Arts,252,
CT125,Information Technology,235,
CM001,Education - Primary Teaching,452*,
CM002,Education - Primary Teaching - Gaeltacht Applicants,#421,
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,#491,
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),#492,
CM010,Education Studies,317,
CM020,Early Childhood Education,336,
DB500,Computing,242,
DB501,Computing (Cloud Computing),326,
DB502,Computing (Data Analytics and Big Data),269,
DB503,Computing (Software Development),242,
DB504,Computing (Web and Mobile Technology),227,
DB510,Audio Production and Music Project Management,233,
DB512,Business Studies,229,
DB514,Business Studies (Law),269,
DB515,Business Studies (Human Resource Management),225,
DB516,Financial Services,328,
DB517,Event Management,226,
DB518,Marketing (Digital Media),210,
DB521,Accounting and Finance,225,
DB524,Business Information Systems,402,
DB525,Marketing (Digital Media and Cloud Computing),284,
DB526,Business Information Systems (Cloud Computing),253,
DB527,Applied Social Care,235,
DB531,Marketing,220,
DB562,Psychology,208,
DB566,Social Science,216,
DB567,Film,192,
DB568,Law,245,
DC001,Education - Early Childhood Education,398,
DC002,Education - Primary Teaching,462*,
DC003,Education - Primary Teaching - Gaeltacht Applicants,#433,
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),#357,
DC005,Education - Primary Teaching - Irish Sign Language,#316,
DC009,Arts (Joint Honours) - Humanities,347,
DC010,Post Primary Teacher Education - Religious Education and English,386,
DC011,Post Primary Teacher Education - Religious Education and History,352,
DC012,Post Primary Teacher Education - Religious Education and Music,#367,
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,
DC014,BA in Jazz and Contemporary Music Performance,#428,
DC110,Business Studies International,440,
DC111,Business Studies,463,
DC112,Global Business (France),495,
DC113,Global Business (Germany),440,
DC114,Global Business (Spain),501,
DC115,Accounting and Finance,487,
DC116,Global Business (USA),578,
DC117,Aviation Management / Aviation Management with Pilot Studies,463,
DC118,Gnó agus Gaeilge / Business and Irish,357,
DC119,Global Business (Canada),566,
DC120,Enterprise Computing,350,
DC121,Computer Applications,370,
DC123,Data Science,467,
DC126,Actuarial Mathematics,520,
DC127,Common Entry into Actuarial and Financial Mathematics,509,
DC131,Communication Studies,400,
DC132,Journalism,401,
DC133,Multimedia,403,
DC155,Applied Language and Translation Studies,371,
DC161,Analytical Science,446,
DC162,Chemical and Pharmaceutical Sciences,488,
DC166,Environmental Science and Technology,412,
DC167,Physics with Astronomy,434,
DC168,Genetics and Cell Biology,489,
DC171,Applied Physics,402,
DC173,Physics with Biomedical Sciences,402,
DC181,Biotechnology,476,
DC190,Electronic and Computer Engineering (with choice of four majors),391,
DC193,Mechatronic Engineering,404,
DC195,Mechanical and Manufacturing Engineering,401,
DC197,Biomedical Engineering,402,
DC200,Common Entry into Engineering (Undenominated Entry),381,
DC201,Common Entry into Science (Undenominated Entry),454,
DC202,Sport Science and Health,467,
DC203,Science Education,424,
DC204,Athletic Therapy and Training,484,
DC205,Physical Education with Biology,490,
DC206,Physical Education with Mathematics,443,
DC208,Psychology,509,
DC209,Health and Society,419,
DC215,General Nursing,414,
DC216,Mental Health Nursing,368,
DC218,Children`s and General Nursing (Integrated),467,
DC230,"Economics, Politics and Law",400,
DC231,International Relations,387,
DC232,Law and Society (BCL),453,
DC235,Education and Training - Daytime Delivery Mode (full-time),307,
DC238,Social Sciences and Cultural Innovation,358,
DC240,"Marketing, Innovation and Technology",451,
DC291,Arts (Joint Honours) - Media Studies,349,
DC292,Arts (Joint Honours) - Law,356,
DC293,Arts (Joint Honours) - International Languages,369,
DC295,Arts (Joint Honours) - Politics,348,
DT001,Product Design,433,
DT028,Transport Operations and Technology,279,
DT035,Electrical Services and Energy Management,293,
DT066,Engineering (General Entry),400,
DT101,Architecture (test and interview),#618,
DT106,Planning and Environmental Management,312,
DT110,Property Economics (Valuation Surveying),367,
DT111,Quantity Surveying and Construction Economics,391,
DT112,Geographic Science,287,
DT117,Construction Management,356,
DT175,Architectural Technology,388,
DT201,Science (General Entry),464,
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,
DT204,Biomedical Science,501,
DT205,Mathematical Sciences,315,
DT206,Biomedical and Molecular Diagnostics,473,
DT211,Computer Science (Infrastructure),381,
DT220,Industrial Mathematics,300,
DT221,Physics with Energy and Environment,348,
DT222,Physics Technology,321,
DT223,Human Nutrition and Dietetics,553,
DT224,Optometry,487,
DT225,Public Health Nutrition,440,
DT227,Science with Nanotechnology,312,
DT228,Computer Science,451,
DT229,Clinical Measurement Science,491,
DT235,Physics with Medical Physics and Bioengineering,357,
DT282,Computer Science (International),377,
DT299,Chemical Sciences with Medicinal Chemistry,420,
DT302,Business Analytics,325,
DT304,E-Commerce in Retailing,341,
DT321,Business and Law,462,
DT341,Marketing,400,
DT343,Retail and Services Management,301,
DT354,Business Computing,322,
DT358,Logistics and Supply Chain Management,300,
DT365,Business and Management,440,
DT366,Accounting and Finance,432,
DT398,Human Resource Management,375,
DT399,Economics and Finance,437,
DT401,International Hospitality Management,300,
DT405,Culinary Science,308,
DT412,Tourism Marketing,284,
DT413,Event Management,356,
DT416,Culinary Entrepreneurship,275,
DT420,Nutraceuticals in Health and Nutrition,392,
DT421,Food Innovation,321,
DT422,Pharmaceutical Healthcare,397,
DT491,Environmental Health,343,
DT501,Music,#383,
DT504,Film and Broadcasting,443,
DT506,Commercial Modern Music,#468,
DT508,Game Design,403,
DT517,Languages and English Studies,326,
DT518,Languages and International Tourism,307,
DT529,Drama (Performance),#371,
DT532,Law (LL.B.),422,
DT533,Contemporary Visual Culture,#,
DT544,Interior Design,#552,
DT545,Design - Visual Communication,#667,
DT546,Fine Art,#668,
DT555,International Business and Languages,353,
DT559,Photography,#700,
DT571,Social Care,394,
DT572,Early Childhood Education,385,
DT582,Journalism,347,
DT596,Print Media Technology and Management,252,
DT597,Creative and Cultural Industries,280,
DL821,"English, Media and Cultural Studies",211,
DL822,Arts Management,209,
DL823,Business Studies - Entrepreneurship and Management,260,
DL825,Applied Psychology,349,
DL826,Visual Communication Design,#736,
DL827,Art,#583,
DL828,"3D Design, Modelmaking and Digital Art",#691,
DL829,Design for Stage and Screen (Costume Design),#817,
DL830,Design for Stage and Screen (Makeup Design),#879,
DL831,Design for Stage and Screen (Production Design),#893,
DL832,Animation,#855,
DL833,Photography,#636,
DL834,Film and Television Production,#933,
DL835,Creative Media Technologies,237,
DL836,Creative Computing,217,
DL837,New Media Studies,290,
DL838,Creative Music Production,#746,
GC200,Business Studies (Cork),269,
GC201,Accounting and Finance (Cork),251,
GC230,Computing Science (Cork),228,
GC300,Business Studies (Limerick),251,
GC301,Accounting and Finance,307,
GC302,"Business Studies - (HRM, Limerick)",269,
GC305,International Hospitality Management (Limerick),327,
GC400,Business Studies (Dublin),246,
GC401,Accounting and Finance (Dublin),181,
GC403,Law (Dublin),225,
GC405,International Hospitality Management (Dublin),254,
GC407,"Business Studies (Marketing, Dublin)",246,
GC430,Computing Science (Dublin),217,
GC450,Journalism and Visual Media (Dublin),227,
GC462,Design Communication (Dublin),,
GC489,Interior Architecture (Dublin),#267,
GC494,Fashion Design (Dublin),#,
ID001,Accounting and Finance,229,
ID002,Business Studies,285,
ID003,Business Studies with Chinese,,
BN101,Business,252,
BN103,Business and Information Technology,254,
BN104,Computing (Information Technology),260,
BN107,Applied Social Studies in Social Care,300,
BN108,Engineering (Common Entry with Award options),271,
BN109,Business (Common Entry with Award options),260,
BN110,International Business,253,
BN111,Sports Management and Coaching,270,
BN112,Creative Digital Media,280,
BN113,Horticulture,289,
BN114,Accounting and Finance,280,
BN115,Community and Youth Development,250,
BN117,Computer Engineering in Mobile Systems,273,
BN118,Early Childhood Care and Education,290,
BN119,Digital Marketing,270,
BN120,Digital Forensics and Cyber Security,281,
BN121,Mechatronic Engineering,276,
BN123,"Design,Technology and Innovation",297,
TA022,Creative Digital Media,260,
TA023,Advertising and Marketing Communications,235,
TA024,Early Childhood Care and Education,217,
TA025,Social Care Practice,261,
TA026,International Hospitality and Tourism Management,208,
TA027,Botanical Cuisine,236,
TA028,Digital Marketing Technologies,220,
TA121,Accounting and Finance,202,
TA122,Management,218,
TA123,Marketing Management,207,
TA125,International Business,229,
TA221,Electronic Engineering,251,
TA222,Mechanical Engineering,243,
TA223,Sustainable Energy Engineering,236,
TA224,Biomedical Design,218,
TA225,Automation Engineering,235,
TA226,Engineering Software,243,
TA321,Pharmaceutical Science,261,
TA322,Computing,200,
TA323,Computing with IT Management,243,
TA326,DNA and Forensic Analysis,300,
TA327,Sports Science and Health,341,
TA329,Computing with Data Analytics,218,296
AD101,First Year Art & Design (Common Entry),# +matric,550
AD102,Graphic Design and Moving Image Design,# +matric,635
AD103,Textile & Surface Design and Jewellery & Objects,# +matric,545
AD202,Education & Design or Fine Art (Second Level Teaching),# +matric,580
AD204,Fine Art,# +matric,600
AD211,Fashion Design,# +matric,600
AD212,Product Design,# +matric,600
AD215,Visual Culture,300,338
AD217,Illustration,# +matric,625
AD222,Interaction Design,# +matric,657
NC003,Computing (Degree Award options),261,316
NC005,Human Resource Management,297,320
NC009,Business,297,339
NC010,Psychology,366,399
NC020,Marketing Practice,270,307
NC022,Accounting and Finance,338,376
NC023,Technology Management (with specialisations),260,303
NC025,Data Science,297,371
RC001,Medicine - Undergraduate Entry (HPAT required),#729,733
RC004,Physiotherapy,532*,542
RC005,Pharmacy,555,566
RC101,Medicine - Graduate Entry (GAMSAT required),#60,62
TR002,Music,#414,473
TR003,History,486,518
TR004,Law,532,552
TR005,Philosophy,391,446
TR006,Psychology,555*,577
TR007,Clinical Speech and Language Studies,499,529
TR009,Music Education,#430,465
TR012,History and Political Science,532*,557
TR015,"Philosophy, Political Science, Economics and Sociology",566,577
TR016,Deaf Studies,337,372
TR017,Law and Business,576,589
TR018,Law and French,532*,554
TR019,Law and German,523,555
TR020,Law and Political Science,567,600
TR021,"Classics, Ancient History and Archaeology",377,495
TR022,Early and Modern Irish,347,407
TR023,English Studies,463,511
TR024,European Studies,520,544
TR025,Drama and Theatre Studies,#489,531
TR028,Ancient and Medieval History and Culture,339,451
TR029,Political Science and Geography,477,500
TR031,Mathematics,566,589
TR032,Engineering,487*,520
TR033,Computer Science,465*,488
TR034,Management Science and Information Systems Studies,589*,602
TR035,Theoretical Physics,554,601
TR038,Engineering with Management,499,543
