,Course_Code,Course_Name,R1_Points21,R2_Points21
474,TR072,Pharmacy,613.0,613.0
475,TR080,Global Business,613.0,
476,TR081,Business  Economic and Social Studies (BESS),577.0,567.0
477,TR084,Social Studies (Social Work),497.0,487.0
478,TR085,Business Studies and French,564.0,
479,TR086,Business Studies and German,530.0,
480,TR087,Business Studies and Russian,487.0,
481,TR089,Business Studies and Polish,391.0,
482,TR090,Business Studies and Spanish,566.0,
483,TR091,General Nursing (Meath and St James`s),462.0,456.0
484,TR093,General Nursing (Adelaide School of Nursing),473.0,
485,TR095,Mental Health Nursing,442.0,
486,TR097,Intellectual Disability Nursing,412.0,410.0
487,TR911,Children`s and General Nursing (Integrated),531.0,
488,TR913,Midwifery,521.0,
489,DN100,Architecture,555.0,
490,DN120,Landscape Architecture,463.0,435.0
491,DN130,City Planning and Environmental Policy,445.0,424.0
492,DN150,Engineering (Common Entry),565.0,
493,DN200,Science (options),577.0,567.0
494,DN201,Computer Science (Common Entry),554.0,549.0
495,DN230,Actuarial and Financial Studies,613.0,613.0
496,DN240,Sustainability,510.0,
497,DN250,Agricultural Science (options),454.0,444.0
498,DN261,Food Science,531.0,
499,DN262,Human Nutrition,566.0,
500,DN300,Veterinary Medicine - Undergraduate Entry,601.0,
501,DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,
502,DN310,Veterinary Nursing,521.0,509.0
503,DN400,Medicine - Undergraduate Entry (HPAT required),743.0,
504,DN401,Medicine - Graduate Entry (GAMSAT required),61.0,
505,DN410,Radiography,566.0,566.0
506,DN411,Radiography - Graduate Entry,,
507,DN420,Physiotherapy,601.0,601.0
508,DN425,Health and Performance Science,544.0,543.0
509,DN430,Sport and Exercise Management,484.0,476.0
510,DN440,Biomedical  Health and Life Sciences,613.0,613.0
511,DN450,General Nursing,462.0,
512,DN451,Children`s and General Nursing (Integrated),533.0,
513,DN452,Midwifery,510.0,509.0
514,DN453,Mental Health Nursing,442.0,
515,DN520,Joint Honours (options),381.0,378.0
516,DN530,Humanities (options),397.0,388.0
517,DN541,Modern Languages (options),320.0,
518,DN600,Law (options),576.0,567.0
519,DN610,Business and Law,573.0,567.0
520,DN650,Commerce,555.0,
521,DN660,Commerce International (options),555.0,554.0
522,DN670,Economics and Finance,625.0,625.0
523,DN700,Social Sciences (options),475.0,474.0
524,DN710,Economics,534.0,532.0
525,DN720,Psychology,566.0,564.0
526,DN750,Social Policy and Sociology,421.0,
527,DK810,Accounting and Finance,307.0,307.0
528,DK816,Business Studies,301.0,301.0
529,DK820,Computing in Games Development,309.0,309.0
530,DK821,Computing in Software Development,320.0,316.0
531,DK822,Augmented and Virtual Reality,320.0,320.0
532,DK830,Building Surveying,305.0,
533,DK831,Architectural Technology,368.0,314.0
534,DK832,Construction Management,358.0,305.0
535,DK843,Engineering (Common Entry),404.0,391.0
536,DK844,Mechanical Engineering,336.0,336.0
537,DK845,Electrical and Electronic Engineering,331.0,331.0
538,DK846,Civil Engineering,371.0,371.0
539,DK850,International Tourism Management,303.0,303.0
540,DK861,Arts,302.0,302.0
541,DK862,Social Care,322.0,319.0
542,DK863,Creative Media,336.0,320.0
543,DK864,Film and Television Production,308.0,
544,DK865,Audio and Music Production,352.0,
545,DK870,General Nursing,440.0,440.0
546,DK872,Intellectual Disability Nursing,367.0,366.0
547,DK874,Mental Health Nursing,398.0,
548,DK876,Early Childhood Studies,300.0,
549,DK877,Midwifery,482.0,477.0
550,DK880,Health and Physical Activity,301.0,
551,DK882,Agriculture (Award options),342.0,
552,DK883,Science (Award options),373.0,368.0
553,DK884,Sustainable Agriculture,348.0,
554,DK885,Agri-Food Production,,
555,DK886,Biopharmaceutical Science,379.0,
556,DK887,Environmental Science,377.0,
557,GA181,Accounting,303.0,
558,GA182,Business,285.0,
559,GA183,Business Information Systems,298.0,
560,GA184,Marketing and Sales,300.0,
561,GA185,Finance and Economics,318.0,
562,GA186,Business with Entrepreneurship,287.0,
563,GA187,Rural Enterprise and Agri-Business,291.0,
564,GA281,Film and Documentary,310.0,301.0
565,GA282,Heritage Studies,252.0,
566,GA283,Contemporary Art (portfolio),790.0,
567,GA284,Design,331.0,
568,GA285,Education (Art  Design and Graphics),406.0,
569,GA380,International Hotel Management,218.0,
570,GA381,International Tourism Management,252.0,
571,GA382,Culinary and Gastronomic Science,235.0,
572,GA384,Event Management with Public Relations,230.0,
573,GA480,Construction Management,302.0,
574,GA482,Quantity Surveying and Construction Economics,304.0,
575,GA483,Architectural Technology,281.0,273.0
576,GA484,Civil Engineering,377.0,
577,GA580,Software and Electronic Engineering,300.0,
578,GA680,Mechanical Engineering,400.0,
579,GA681,Energy Engineering,312.0,
580,GA682,Biomedical Engineering,331.0,
581,GA683,Agricultural Engineering,304.0,
582,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413.0,
583,GA685,Manufacturing Engineering Design,336.0,
584,GA780,Applied Freshwater and Marine Biology,366.0,
585,GA781,Applied Biology and Biopharmaceutical Science,381.0,
586,GA782,Chemical and Pharmaceutical Science,356.0,
587,GA783,Physics and Instrumentation,301.0,
588,GA784,Science (Undenominated),445.0,
589,GA785,Medical Science,517.0,510.0
590,GA786,Forensic Science and Analysis,408.0,
591,GA787,Computing in Software Development,310.0,
592,GA788,Computing and Digital Media,270.0,
593,GA789,Agriculture and Environmental Management,340.0,
594,GA790,Sport and Exercise Science,376.0,366.0
595,GA791,Public Health Nutrition,368.0,
596,GA880,General Nursing,440.0,
597,GA882,Psychiatric Nursing,369.0,
598,GA885,Outdoor Education,269.0,
599,GA887,History and Geography,201.0,
600,GA889,Applied Social Care,265.0,
601,GA890,Early Childhood Education and Care,281.0,227.0
602,GA891,Geography and Outdoor Education,261.0,
603,GA892,Community Development and Youth Work (Level 8),,
604,GA980,Education (Design Graphics and Construction),410.0,
605,GA981,Furniture Design and Manufacture,346.0,
606,GA982,Furniture Making and Architectural Woodworking,360.0,
607,GA983,Furniture and Digital Manufacturing,,
608,GA984,Furniture Design  Making and Technology - Common E,486.0,467.0
609,GY101,Arts (Joint-Honours),327.0,326.0
610,GY104,BSc (Psychology),564.0,555.0
611,GY105,Arts (History),357.0,
612,GY109,Arts (Mathematics and Education),413.0,
613,GY110,Arts (Children and Youth Studies - options),387.0,
614,GY111,Arts (English and Creative Writing),421.0,420.0
615,GY113,Arts with Human Rights,413.0,
616,GY115,Arts with Performing Arts Studies,300.0,
617,GY118,Arts (Drama  Theatre and Performance Studies),453.0,430.0
618,GY119,Arts (Journalism),484.0,473.0
619,GY122,Na Dána (Cumarsáid agus Gaeilge),410.0,
620,GY123,Applied Social Sciences,419.0,
621,GY125,Arts (Digital Arts and Technology),403.0,
622,GY127,Arts (Film and Digital Media),430.0,421.0
623,GY128,Arts (Global Languages),346.0,
624,GY129,Arts (Global Experience),465.0,
625,GY130,Arts (Music),462.0,
626,GY132,Government (Politics  Economics and Law),465.0,451.0
627,GY133,Education (Computer Science and Mathematical Studi,454.0,
628,GY134,Geography and Geosystems,425.0,
629,GY135,Arts (Global Media),442.0,
630,GY136,Na Dána (Léann Teanga - options),526.0,
631,GY201,Commerce,476.0,
632,GY202,Commerce (International) with French,520.0,
633,GY203,Commerce (International) with German,518.0,
634,GY204,Commerce (International) with Spanish,506.0,
635,GY206,Business Information Systems (Work Placement and O,509.0,
636,GY207,Commerce (Accounting) including optional Global Ex,543.0,
637,GY208,Commerce (Gaeilge),508.0,
638,GY209,Commerce (Global Experience),551.0,
639,GY250,Law and Business,510.0,
640,GY251,Law (BCL),542.0,
641,GY252,Law (BCL) and Human Rights,565.0,
642,GY253,Law and Taxation,506.0,
643,GY254,Law (BCL)  Criminology and Criminal Justice,548.0,
644,GY261,Business Studies in International Hotel Management,503.0,
645,GY262,Commerce in International Hotel Management (interv,709.0,
646,GY301,Science,489.0,488.0
647,GY303,Biomedical Science,613.0,
648,GY304,Biotechnology,498.0,495.0
649,GY308,Environmental Science,431.0,430.0
650,GY309,Financial Mathematics and Economics,509.0,
651,GY310,Marine Science,467.0,
652,GY313,Environmental Health and Safety,412.0,
653,GY314,Earth and Ocean Sciences,422.0,
654,GY318,Biopharmaceutical Chemistry,555.0,
655,GY319,Mathematical Science,543.0,
656,GY320,Physics (Degree options: Applied Astrophysics Biom,465.0,
657,GY321,Genetics and Genomics,532.0,
658,GY322,Agricultural Sciences,485.0,
659,GY350,Computer Science and Information Technology,495.0,
660,GY401,Engineering (Undenominated),522.0,520.0
661,GY402,Civil Engineering,533.0,521.0
662,GY405,Mechanical Engineering,541.0,
663,GY406,Electronic and Computer Engineering,555.0,
664,GY408,Biomedical Engineering,554.0,
665,GY410,Project and Construction Management,431.0,
666,GY413,Energy Systems Engineering,509.0,
667,GY414,Electrical and Electronic Engineering,433.0,
668,GY501,Medicine (five year/six year course  HPAT required,737.0,737.0
669,GY502,Occupational Therapy,601.0,
670,GY503,Speech and Language Therapy,578.0,
671,GY504,Podiatric Medicine,531.0,526.0
672,GY515,General Nursing (Galway and Portiuncula),502.0,496.0
673,GY516,Mental Health Nursing,475.0,441.0
674,GY517,Midwifery,520.0,509.0
675,LY108,Business - Accounting,312.0,
676,LY118,Business,288.0,
677,LY128,Marketing with Online Technologies,261.0,261.0
678,LY208,Law,300.0,290.0
679,LY228,Sports and Exercise - Common Entry,290.0,
680,LY408,Design - Common Entry,301.0,
681,LY508,Fire Safety Engineering,283.0,
682,LY518,Quantity Surveying,304.0,
683,LY528,Construction Management,262.0,
684,LY538,Architectural Technology,234.0,234.0
685,LY608,Mechanical Engineering,300.0,
686,LY618,Electronic Engineering,321.0,
687,LY708,Applied Computing,320.0,
688,LY748,Computer Science,316.0,
689,LY818,Science - Common Entry,302.0,
690,LY828,Agriculture - Common Entry,308.0,300.0
691,LY908,General Nursing,429.0,
692,LY918,Psychiatric Nursing,367.0,
693,LY928,Intellectual Disability Nursing,357.0,
694,LY968,Early Childhood Care  Health and Education,288.0,
695,LY978,Health and Social Care - Common Entry,279.0,
696,MI001,Contemporary and Applied Theatre Studies,209.0,
697,MI002,Arts,280.0,
698,MI004,Education - Primary Teaching - International,589.0,
699,MI005,Education - Primary Teaching,522.0,
700,MI006,Education - Primary Teaching - Gaeltacht Applicant,485.0,
701,MI007,Early Childhood Care and Education,409.0,
702,MI008,Education and Psychology - Primary Teaching,590.0,
703,MI009,Education  Business Studies and Accounting,434.0,
704,MI010,Education  Business Studies and Religious Studies,370.0,
705,MI011,Education  Gaeilge and Religious Studies,407.0,
706,MI012,Education  Gaeilge and Business Studies,387.0,
707,MI013,Education  Mathematics and Gaeilge,509.0,
708,MI014,Education  Mathematics and Business Studies,476.0,
709,CI110,Counselling and Psychotherapy,292.0,
710,CI111,Counselling and Psychotherapy with Addiction Studi,290.0,
711,CI112,Counselling and Psychotherapy with Youth Studies,325.0,
712,LC110,Art and Design (Common Entry  portfolio),794.0,
713,LC114,Fashion and Textiles for Product and Costume (port,914.0,
714,LC115,Art and Design Teacher Education (LIT and UL  port,993.0,
715,LC220,Digital Marketing,263.0,
716,LC223,Law and Taxation,331.0,
717,LC224,Accounting and Finance,300.0,
718,LC225,Marketing and Management,298.0,
719,LC226,Enterprise and Innovation,255.0,
720,LC233,Software Development,280.0,
721,LC234,Immersive Digital Media and Spatial Computing,226.0,
722,LC236,Internet Systems Development,260.0,
723,LC239,Computer Networks and Systems Management,317.0,
724,LC241,Construction Management,326.0,
725,LC242,Property Valuation and Management,308.0,
726,LC243,Quantity Surveying,278.0,
727,LC248,Built Environment (Common Entry),300.0,
728,LC252,Civil Engineering Management,264.0,
729,LC263,Medical Technology,391.0,
730,LC265,Forensic and Pharmaceutical Sciences,498.0,
731,LC266,Drug and Medicinal Product Analysis,252.0,
732,LC275,Electrical Engineering,361.0,347.0
733,LC288,Mechanical Engineering,378.0,369.0
734,LC289,Precision Engineering,261.0,
735,LC292,Social Care Work,374.0,
736,LC293,Business Studies with Travel and Tourism Managemen,271.0,264.0
737,LC294,Business Studies with Event Management,279.0,
738,LC295,Business Studies with Sports Management,262.0,
739,LC297,Community and Addiction Studies,272.0,262.0
740,LC320,Business,381.0,
741,LC330,Business with Computing,328.0,308.0
742,LC340,Interior Design,391.0,368.0
743,LC362,Biotechnology and Biopharmaceutical Sciences,429.0,
744,LC371,Creative Broadcast and Film Production,325.0,310.0
745,LC372,Music Technology and Production,377.0,
746,LC374,Renewable and Electrical Energy Engineering,337.0,319.0
747,LC375,Industrial Automation and Robotic Systems,309.0,
748,LC376,Electronic Engineering with Computer Systems,357.0,
749,LC380,Automotive Engineering and Transport Management,298.0,
750,LC392,Business Studies in Beauty and Spa Management,328.0,317.0
751,LC393,Early Childhood Education and Care,309.0,276.0
752,LC402,Social Care Work,228.0,
753,LC408,Environmental Science and Climate,279.0,
754,LC416,Business,260.0,
755,LC418,Computing - Games Design and Development,260.0,256.0
756,LC422,Applied Strength and Conditioning,289.0,
757,LC502,Game Art and Design (portfolio),841.0,
758,LC517,Creative Media and Design,279.0,
759,LC518,Digital Animation Production (portfolio),807.0,
760,LC612,Social Care Work,309.0,
761,LM002,Arts,360.0,360.0
762,LM019,Social Sciences,451.0,
763,LM020,Law and Accounting,474.0,
764,LM026,Performing Arts (audition format TBC),329.0,
765,LM028,Criminal Justice,420.0,
766,LM029,Law Plus,530.0,
767,LM038,Psychology and Sociology,530.0,
768,LM039,Journalism and Digital Communication,432.0,
769,LM040,European Studies,409.0,
770,LM044,Applied Languages,429.0,
771,LM050,Business Studies (options),451.0,
772,LM056,International Business,555.0,
773,LM058,Financial Mathematics,468.0,
774,LM063,Technology Management,410.0,
775,LM066,Environmental Science,430.0,
776,LM068,Food Science and Health,464.0,
777,LM076,Product Design and Technology (portfolio required),401.0,
778,LM077,Aeronautical Engineering,567.0,
779,LM082,Construction Management and Engineering,446.0,
780,LM089,Sport and Exercise Sciences,498.0,
781,LM090,Physical Education with concurrent Teacher Educati,552.0,544.0
782,LM091,Languages with concurrent Teacher Education,506.0,
783,LM092,Science with Teacher Ed (Biology with Physics/Chem,521.0,
784,LM093,Equine Science,367.0,
785,LM094,Materials and Architectural Technology with concur,475.0,
786,LM095,Materials and Engineering Technology with concurre,425.0,
787,LM096,Science with Teacher Ed (Physical Sciences with Ch,454.0,
788,LM097,Mathematics and Computer Science with concurrent T,465.0,
789,LM099,Architecture,520.0,
790,LM100,Physiotherapy,613.0,
791,LM101,Medicine  - Graduate Entry (GAMSAT required),57.0,
792,LM102,Psychology,534.0,
793,LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,429.0,
794,LM105,Exercise and Health Fitness Management,441.0,
795,LM115,Chemical and Biochemical Engineering,476.0,
796,LM116,Engineering (Biomedical/Civil/Design and Manufactu,498.0,
797,LM118,Electronic and Computer Engineering,445.0,
798,LM121,Computer Science (Computer Systems/Games Dev/Cyber,402.0,
799,LM122,Creative Media and Interaction Design (Digital Des,382.0,
800,LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,498.0,
801,LM124,Mathematics (Math Science/Maths and Physics/Econom,455.0,
802,LM125,Physics (Applied Physics or Mathematics and Physic,489.0,
803,LM150,General Nursing,498.0,487.0
804,LM152,Mental Health Nursing,478.0,466.0
805,LM154,Intellectual Disability Nursing,462.0,443.0
806,LM156,Midwifery,521.0,508.0
807,MU001,Theology and Arts,294.0,294.0
808,MU002,Theology,,
809,MH001,Education - Primary Teaching (Froebel),564.0,
810,MH002,Education - Primary Teaching - Gaeltacht Applicant,,
811,MH003,Early Childhood - Teaching and Learning (full-time,381.0,
812,MH101,Arts,338.0,336.0
813,MH103,Music,,
814,MH106,Psychology - 3 years,554.0,
815,MH107,Social Science,390.0,
816,MH109,Media Studies,324.0,
817,MH116,Community and Youth Work (Full-Time),,
818,MH201,Science,401.0,400.0
819,MH202,Biotechnology,490.0,489.0
820,MH203,Biological and Geographical Sciences,451.0,
821,MH204,Physics with Astrophysics,422.0,
822,MH206,Theoretical Physics and Mathematics,521.0,
823,MH207,Data Science,444.0,
824,MH208,Biological and Biomedical Sciences,543.0,
825,MH209,Psychology (through Science) - 4 years,529.0,
826,MH210,Pharmaceutical and Biomedical Chemistry,510.0,
827,MH212,Science|Maths and Computer Science|Mathematics (wi,452.0,443.0
828,MH304,Engineering (Computer/Electronic/Communications),351.0,351.0
829,MH305,Product Design,326.0,
830,MH306,Robotics and Intelligent Devices,362.0,
831,MH401,Finance (options),370.0,
832,MH402,Quantitative Finance,476.0,
833,MH403,Accounting and Finance,424.0,
834,MH404,Business (options),441.0,
835,MH407,Business and Accounting,423.0,
836,MH411,Entrepreneurship,378.0,
837,MH501,LLB Law - four year Single Major Law programme,507.0,
838,MH502,Law (options),465.0,
839,MH601,Computer Science through Arts (options),381.0,
840,MH602,Computer Science through Science (options),400.0,
841,MH603,Computational Thinking,520.0,
842,MH801,Early Childhood - Teaching and Learning (part-time,,
843,MH802,Community and Youth Work (part-time  in service),,
844,MH803,Local Studies/Community Studies (part-time  evenin,,
845,AS001,Education  Home Economics and Biology - with concu,542.0,533.0
846,AS002,Education  Home Economics and Religious Ed - with,464.0,452.0
847,AS003,Education  Home Economics and Irish - with concurr,463.0,457.0
848,AS051,Nutrition  Food and Business Management,378.0,347.0
849,AS054,Home Economics,440.0,419.0
850,AS110,General Nursing,440.0,432.0
851,AS130,Intellectual Disability Nursing,387.0,358.0
852,SG141,Business,262.0,
853,SG145,Business and ICT,279.0,
854,SG146,Accounting,304.0,
855,SG147,Sport with Business,288.0,
856,SG148,Tourism with Event Management,298.0,
857,SG150,Business in Marketing,298.0,
858,SG241,Performing Arts,341.0,
859,SG242,Early Childhood Care and Education,287.0,
860,SG243,Social Care Practice,309.0,
861,SG244,Fine Art,501.0,
862,SG245,Creative Design,332.0,
863,SG246,Computing,316.0,
864,SG247,English and Psychology,319.0,
865,SG248,Sociology and Politics,298.0,
866,SG249,Writing and Literature,308.0,
867,SG252,Software Development,310.0,
868,SG253,Computing in Computer Networks and Cyber Security,336.0,
869,SG254,Writing and Literature Online,327.0,
870,SG255,Law and Business,291.0,
871,SG341,General Engineering,373.0,
872,SG342,Civil Engineering,418.0,
873,SG343,Quantity Surveying,300.0,
874,SG344,Mechanical Engineering,412.0,
875,SG346,Construction Project Management and Applied Techno,313.0,
876,SG347,Architecture,403.0,
877,SG348,Interior Architecture and Design,359.0,
878,SG349,Electronics and Self Driving Technologies,,
879,SG350,Robotics and Automation,384.0,
880,SG442,Occupational Safety and Health,307.0,
881,SG443,Human Nutrition,376.0,
882,SG444,Science Undenominated,358.0,
883,SG445,Pharmaceutical Science with Drug Development,357.0,
884,SG447,Health Science and Physical Activity,326.0,
885,SG448,Forensic Investigation and Analysis,308.0,
886,SG449,Medical Biotechnology,315.0,
887,SG450,Environmental Science with Ecology (Level 8),310.0,
888,TL801,Animation  Visual Effects and Motion Design (Level,718.0,
889,TL802,TV  Radio and New Media (Level 8),322.0,
890,TL810,Computing with Software Development,308.0,
891,TL811,Computing with Games Development,322.0,
892,TL815,Computing (Degree Award options),307.0,
893,TL823,Event Management (3 year programme),293.0,
894,TL831,Business Studies (Major Specialism in: Acctng or M,306.0,
895,TL842,Construction Management,,
896,TL844,Agricultural Engineering,301.0,
897,TL845,Civil Engineering,361.0,
898,TL847,Manufacturing Engineering,305.0,
899,TL848,Agricultural Science,307.0,
900,TL851,Wildlife Biology (Degree Award options),309.0,
901,TL855,Pharmaceutical Science (Degree Award options),316.0,
902,TL858,Veterinary Bioscience,317.0,
903,TL871,Health and Leisure (Degree Award options),303.0,
904,TL872,Health and Leisure with Massage,314.0,
905,TL873,Coaching and Sports Performance,308.0,
906,TL874,Inclusive Sport and Physical Activity,341.0,
907,TL880,Early Childhood Care and Education,309.0,
908,TL881,Social Care,301.0,
909,TL889,Counselling with Addiction - Mature applicants onl,,
910,TL890,General Nursing and Mature Applicants,463.0,
911,TL891,Mental Health Nursing and Mature Applicants,440.0,419.0
912,WD001,Applied Computing (options),270.0,261.0
913,WD002,Science (options),279.0,
914,WD005,Health Sciences (options),271.0,
915,WD006,Exercise Sciences (options),270.0,
916,WD007,Engineering (options),270.0,270.0
917,WD025,Construction Management and Engineering,262.0,
918,WD027,Music,321.0,
919,WD048,Business (options),279.0,
920,WD084,Accounting,308.0,
921,WD091,Hospitality Management,225.0,
922,WD116,General Nursing,446.0,
923,WD117,Psychiatric Nursing,415.0,
924,WD120,Intellectual Disability Nursing,390.0,
925,WD134,International Business,267.0,
926,WD137,Design (Visual Communications),252.0,
927,WD140,Laws,280.0,
928,WD144,Architecture,309.0,
929,WD147,Pharmaceutical Science,288.0,
930,WD150,Criminal Justice Studies,280.0,
931,WD152,Visual Art,243.0,
932,WD161,Computer Forensics and Security,270.0,
933,WD162,Quantity Surveying,226.0,
934,WD163,Psychology,456.0,
935,WD186,Sports Coaching and Performance,261.0,
936,WD187,Social Science,276.0,
937,WD191,Agricultural Science,377.0,
938,WD192,Social Care Practice,271.0,
939,WD193,Marketing and Digital Media,279.0,
940,WD194,Culinary Arts,237.0,
941,WD195,Architectural and Building Information Modelling T,279.0,
942,WD200,Arts (options),201.0,201.0
943,WD210,Software Systems Development,260.0,
944,WD211,Creative Computing,270.0,
945,WD212,Recreation and Sport Management,262.0,
946,WD230,Mechanical and Manufacturing Engineering,230.0,230.0
947,WD231,Early Childhood Care and Education,266.0,
948,WD232,Business Information Systems,261.0,261.0
